NAME,TYPE,COST,STRENGTH,WEAKNESS,OPPORTUNITIES,THREATS,P_LOW,P_HIGH,YEARLY_LOW,YEARLY_HIGH
A & M Febcon Ltd.,Miscellaneous,0.95,Company with Zero Promoter Pledge,Low Piotroski Score : Companies with weak financials,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,0.87,0.95,0.85,2.36
A K Spintex Ltd.,Textiles & Apparel,135.00,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Stock with Low PE (PE < = 10) ,No Threat for this stock,131.05,138.45,72.25,162.00
A F Enterprises Ltd.,Finance - Investment,5.61,Growth in Net Profit with increasing Profit Margin (QoQ),Inefficient use of shareholder funds - ROE declining in the last 2 years,Turnaround companies- loss to profit QoQ ,No Threat for this stock,5.21,5.70,4.30,23.25
A and M Jumbo Bags Ltd.,Containers & Packaging,,Company with Zero Promoter Pledge,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,,,,
Aankit Granites Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
A G Universal Ltd.,Trading,,Annual Net Profits improving for last 2 years,Companies with High Debt,Highest Recovery from 52 Week Low ,No Threat for this stock,0.00,0.00,32.50,119.95
A P T Yarns Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
A2Z Infra Engineering  Ltd.,Infrastructure,13.81,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,13.55,13.75,5.10,15.15
AAA Technologies Ltd.,Software,97.15,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,98.50,100.00,41.85,108.00
A B Infrabuild Ltd.,Cement,,Strong Annual EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,Highest Recovery from 52 Week Low ,No Threat for this stock,0.00,0.00,11.85,59.85
A-1 Acid  Ltd.,Trading,366.00,MACD Crossover Above Signal Line,Degrowth in Revenue and Profit,No Opportunity for this stock,No Threat for this stock,366.00,367.00,294.80,439.95
Aditya Birla Chemicals Ltd.,Chemicals,225.20,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,219.00,230.90,200.00,251.95
A K S Credits Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
AA Plus Tradelink Ltd.,,8.00,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,No Opportunity for this stock,No Threat for this stock,8.00,8.00,4.10,20.44
AksharChem (India) Ltd.,Dyes & Pigments,282.55,Company with Low Debt,Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,No Threat for this stock,280.70,288.40,201.05,321.95
Aanchal Ispat Ltd.,Iron & Steel,8.09,Company with Zero Promoter Pledge,Companies with High Debt,Stock with Low PE (PE < = 10) ,No Threat for this stock,8.09,8.09,8.00,19.05
Aikyam Intellectual Property Consultancy Ltd.,Packaging,7.10,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,7.10,7.10,7.10,46.95
A.K.Capital Services Ltd.,Finance - Investment,785.00,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of assets to generate profits - ROA declining in the last 2 years,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,775.05,805.00,399.00,894.80
Amex Carbonates and Chemicals Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Agri-Tech (India) Ltd.,Agriculture,217.05,"Strong Momentum: Price above short, medium and long term moving averages","Rising other income, and low operating income",Highest Recovery from 52 Week Low ,No Threat for this stock,216.20,226.45,86.00,261.50
Ajanta Pharma Ltd.,Pharmaceuticals & Drugs,"2,205.30","Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,2200.15,2225.95,1131.70,2353.95
Anuh Pharma Ltd.,Pharmaceuticals & Drugs,163.30,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Highest Recovery from 52 Week Low ,No Threat for this stock,161.10,168.90,77.00,186.00
Alfa Transformer Ltd.,Electric Equipment,97.81,"Strong Momentum: Price above short, medium and long term moving averages",Companies with High Debt,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,97.81,97.81,15.20,97.81
Alchemie Organics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Amethi Textiles Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
APL Apollo Tubes Ltd.,Iron & Steel,"1,536.50",Company with high TTM EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,1533.00,1566.05,1047.00,1800.00
APS-Star Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Arihants Securities Ltd.,Finance - Investment,24.52,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,23.15,24.52,7.83,24.52
Arihant Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Artemis Global Life Science Ltd.,Medical Equipment/Supplies/Accessories,51.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,51.00,57.95,42.05,88.90
Apollo Micro Systems Ltd.,Aerospace & Defence,121.10,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Declining Net Cash Flow : Companies not able to generate net cash,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,120.15,124.90,24.99,161.70
Archit Organosys Ltd.,Commodity Chemicals,57.75,Company with Zero Promoter Pledge,Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,57.50,58.65,47.26,81.70
Arihant Threads Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Arvind and Company Shipping Agencies Ltd.,Miscellaneous,,Strong Annual EPS Growth,Companies with Increasing Debt,RSI indicating price strength ,No Threat for this stock,66.50,68.00,45.00,70.00
Arraycom India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Art Nirman Ltd.,Construction - Residential & Commercial Complexes,,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,73.30,77.45,40.50,93.90
Aryan Share & Stock Brokers Lt Ltd.,Miscellaneous,23.88,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,"Negative profit growth, promoters decreasing shareholding QoQ",Highest Recovery from 52 Week Low ,No Threat for this stock,21.63,23.89,6.59,30.50
Arunoday Mills Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
ASCOM Ltd.,Miscellaneous,,Company with Low Debt,Inefficient use of shareholder funds - ROE declining in the last 2 years,No Opportunity for this stock,No Threat for this stock,0.00,0.00,55.63,365.00
Ashish Polyplast Ltd.,Plastics - Tubes/Pipes/Hoses & Fittings,0.00,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,0.00,0.00,12.69,30.69
Arvind Fashions - RE Ltd.,Retailing,19.25,No Strength for this stock,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,18.20,38.00,10.00,56.25
Aryaman Capital Markets Ltd.,Finance - Stock Broking,71.66,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,RSI indicating price strength ,No Threat for this stock,71.66,71.66,38.60,71.66
